i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
3,Fullerton,5,CA,33.883627,0.6,3,-117.885349,5,3,92831-3599,800 N State College Blvd,3,5,132,California State University-Fullerton,5,132
1,Houston,2,TX,29.705395,1,2,-95.400790,2,2,77030-4009,1515 Holcombe Blvd.,1,2,12,The University of Texas MD Anderson Cancer Center,2,12
9,Rochester,21,NY,43.090325,1.5,6,-77.675210,14,9,14623-5603,1 Lomb Memorial Dr,5,15,173,Rochester Institute of Technology,18,308
2,Las Vegas,2,NV,36.106994,1,2,-115.141153,2,2,89154,4505 S Maryland Pky,2,2,74,University of Nevada-Las Vegas,2,74
0,,1,,,1,1,,1,1,,,0,1,2,University of Edinburgh,1,2
0,Burlington,7,VT,44.479262,0.4,2,-73.198128,4,2,05405-0160,85 S Prospect St,0,7,13,University of Vermont,4,13
1,,2,,,0.667,2,,2,2,,,1,2,26,UCSF,2,26
0,,2,,,2,2,,2,2,,,0,2,6,University of Oxford,2,6
0,,1,,,0,0,,0,0,,,0,0,0,Queen's University Belfast,0,0
0,Fargo,4,ND,46.894523,0.333,1,-96.805689,2,1,58108-6050,1301  12th Avenue North,0,4,2,North Dakota State University,2,2
1,New York,1,NY,40.762927,1,1,-73.954912,1,1,10065-6399,1230 York Avenue,1,1,10,Rockefeller University,1,10
21,Stanford,52,CA,37.426967,1.364,11,-122.168826,19,15,94305, ,12,41,377,Stanford University,34,1111
0,,1,,,1,1,,1,1,,,0,1,2,ISU,1,2
0,Syracuse,2,NY,43.034355,0.5,2,-76.139236,2,2,13210,One Forestry Dr.,0,2,10,SUNY College of Environmental Science and Forestry,2,10
0,Fremont,1,CA,.,1,1,.,1,1,94539,47671 Westinghouse Drive,0,1,6,Northwestern Polytechnical University,1,6
26,Berkeley,67,CA,37.871969,2,15,-122.260423,31,16,94720,200 California Hall,22,62,964,"University of California, Berkeley",33,1107
1,Richardson,1,TX,32.989432,1,1,-96.748371,1,1,75080-3021,800 West Campbell  Road,1,1,10,University of Texas at Dallas,1,10
0,Salt Lake City,1,UT,40.762484,1,1,-111.846044,1,1,84112-9008,"201 Presidents Circle, ROOM 201",0,1,4,University of Utah School of Medicine,1,4
1,,1,,,1,1,,1,1,,,1,1,13,"Institute for Research in Biomedicine, Barcelona",1,13
1,Dearborn,7,MI,42.317287,0.231,2,-83.231417,4,3,48128-1491,4901 Evergreen Rd,0,6,10,"University of Michigan, Dearborn",7,255
0,,1,,,0,0,,0,0,,,0,1,0,High Energy Accelerator Research Organization,0,0
0,,2,,,1,1,,2,1,,,0,2,4,US Army,2,4
0,,1,,,1,1,,1,1,,,0,1,8,University of Leoben,1,8
0,Conway,2,SC,33.794722,0,0,-79.012635,0,0,29526,103 Tom Trout Drive,0,2,0,Coastal Carolina University,0,0
0,Loudonville,1,NY,42.718586,1,1,-73.751530,1,1,12211-1462,515 Loudon Rd,0,1,6,Siena College,1,6
5,Los Alamos,7,NM,35.886391,0.625,1,-106.316369,3,5,87544,4000 University Dr,1,3,42,Los Alamos National Laboratory,7,539
0,Beaumont,4,TX,30.044274,0.667,2,-94.073389,3,2,77705,4400 MLK Blvd,0,4,8,Lamar University,3,8
0,,1,,,1,1,,1,1,,,0,1,3,Memorial Sloan Kettering Cancer Center,1,3
0,,1,,,1,1,,1,1,,,0,1,1,University of Exeter,1,1
4,Los Angeles,19,CA,34.021058,0.625,2,-118.283858,6,5,90089,University Park,1,14,34,University of Southern California,12,125
1,Dallas,2,TX,32.819539,1,1,-96.842311,1,2,75390-9096,5323 Harry Hines Blvd,1,1,12,University of Texas Southwestern Medical Center,2,15
1,,3,,,1.5,3,,3,3,,,1,3,23,Cambridge University,3,23
0,Washington,2,DC,38.898650,1,1,-77.047871,2,1,20052,"2121 I Street, NW",0,2,5,The George Washington University,2,5
1,,1,,,1,0,,0,1,,,0,0,0,National Optical Astronomy Observatory,1,10
1,,1,,,1,0,,0,1,,,0,0,0,Computation Institute,1,163
0,Carbondale,4,IL,37.713239,0.333,1,-89.218724,3,1,62901-4512,Lincoln Drive,0,4,6,"Southern Illinois University, Carbondale",3,6
4,College Station,19,TX,30.637010,0.778,6,-96.327381,13,7,77840-7896,301 Tarrow,3,16,147,Texas A&M University,19,571
2,Morgantown,4,WV,39.634680,0.333,1,-79.953926,3,2,26506-6201,"Stewart Hall, 1500 University Avenue",1,3,15,West Virginia University,4,25
2,Iowa City,6,IA,41.660695,0.375,2,-91.535698,5,3,52242-1316,101 Jessup Hall,1,5,31,University of Iowa,6,42
0,Norfolk,5,VA,36.884919,0.25,1,-76.309653,1,1,23529,5115 Hampton Blvd,0,5,1,Old Dominion University,1,1
4,San Diego,6,CA,32.775250,0.308,2,-117.071228,3,4,92182,5500 Campanile Dr,1,3,16,San Diego State University,6,94
0,Bloomington,1,IN,39.166383,1,1,-86.526904,1,1,47405-7000,107 South Indiana Ave.,0,1,8,Indiana University at Bloomington,1,8
4,,12,,,0.5,2,,5,4,,,1,7,23,Texas Advanced Computing Center,12,336
15,Salt Lake City,36,UT,40.762484,1.625,8,-111.846044,23,13,84112-9008,"201 Presidents Circle, ROOM 201",7,27,487,University of Utah,36,1276
0,,1,,,1,1,,1,1,,,0,1,3,"SC Solutions, Inc.",1,3
0,,2,,,0.333,1,,1,1,,,0,2,1,Sri Sathya Sai Institute of Higher Learning,1,1
0,,1,,,1,0,,0,1,,,0,0,0,Corning Incorporated,1,3
0,,2,,,1,1,,2,1,,,0,2,4,Central University of the Caribbean,2,4
