i10-index,location_city,i10-index (recent),location_state,location_latitude,H-index (m),num_pubs,lon,location_longitude,G-index (recent),H-index,location_zip,location_street,# of Pubs (recent),Cited by (recent),lat,Organization,G-index,Cited by,H-index (recent)
0,,0,,,0,1,,,0,0,,,1,0,,Univeristy of Michigan,0,0,0
0,,0,,,1,1,,,1,1,,,1,5,,Cedars-Sinai Medical Center,1,5,1
5,Boca Raton,4,FL,26.372536,0.833,6,,-80.102293,5,5,33431-0991,777 Glades Rd,5,118,,Florida Atlantic University,6,128,4
22,Ithaca,14,NY,42.447199,1.455,50,,-76.483489,23,16,14853,300 Day Hall,42,498,,Cornell University,41,1604,12
0,Villanova,0,PA,40.039388,1,1,,-75.345457,1,1,19085-1699,800 Lancaster Avenue,1,8,,Villanova University,1,8,1
4,Blacksburg,2,VA,37.228572,0.714,10,,-80.423229,7,5,24061-0131,"210 Burruss Hall, 800 Drillfield Dr.",7,45,,Virginia Polytechnic Institute and State University,10,129,2
0,Reno,0,NV,39.545052,0.333,3,,-119.818424,2,2,89557,North Virginia Street,2,2,,University of Nevada-Reno,3,5,1
0,,0,,,0,1,,,0,0,,,1,0,,Ludwig Maximilian University of Munich,0,0,0
1,,1,,,1,1,,,1,1,,,1,16,,Burnham Institute,1,16,1
1,Fairfax,1,VA,38.830880,0.5,5,,-77.307940,5,2,22030-4444,4400 University Dr,5,171,,George Mason University,5,171,2
0,,0,,,1,1,,,0,1,,,0,0,,University of Cordoba,1,9,0
0,,0,,,0,1,,,0,0,,,1,0,,National Energy Technology Laboratory,0,0,0
5,,5,,,1.4,9,,,9,7,,,9,231,,Max Planck Institute for Gravitational Physics Albert Einstein Institute,9,231,7
13,,4,,,1,42,,,23,13,,,23,884,,Indiana University,42,2216,5
6,,6,,,1.4,14,,,14,7,,,14,180,,University of Toronto,14,180,7
